entity_id;entity_type;time_index;fiware_servicepath;__original_ngsi_entity__;i40assetname;i40physicalmodeltype;currcycletime;drawer1status;drawer2status;orderid;restservicelife;robotrunning;robotspeed
urn:ngsiv2:I40Asset:Workstation00001;I40AssetWorkstation;1675848632181 (2023-02-08T09:30:32.181Z);/demo;NULL;Robot1;Workstation;4;Execute;Idle;urn:ngsiv2:I40Asset:ON000002;320000;true;100
urn:ngsiv2:I40Asset:Workstation00001;I40AssetWorkstation;1675848636292 (2023-02-08T09:30:36.292Z);/demo;NULL;Robot1;Workstation;4;Complete;Idle;urn:ngsiv2:I40Asset:ON000002;320000;false;100
urn:ngsiv2:I40Asset:Workstation00001;I40AssetWorkstation;1675848636304 (2023-02-08T09:30:36.304Z);/demo;NULL;Robot1;Workstation;4;Complete;Execute;urn:ngsiv2:I40Asset:ON000002;320000;true;100
urn:ngsiv2:I40Asset:Workstation00001;I40AssetWorkstation;1675848636319 (2023-02-08T09:30:36.319Z);/demo;NULL;Robot1;Workstation;4;Idle;Execute;urn:ngsiv2:I40Asset:ON000002;320000;true;100
urn:ngsiv2:I40Asset:Workstation00001;I40AssetWorkstation;1675848640336 (2023-02-08T09:30:40.336Z);/demo;NULL;Robot1;Workstation;4;Idle;Complete;urn:ngsiv2:I40Asset:ON000002;320000;false;100
urn:ngsiv2:I40Asset:Workstation00001;I40AssetWorkstation;1675848640373 (2023-02-08T09:30:40.373Z);/demo;NULL;Robot1;Workstation;4;Execute;Complete;urn:ngsiv2:I40Asset:ON000002;320000;true;100
urn:ngsiv2:I40Asset:Workstation00001;I40AssetWorkstation;1675848642388 (2023-02-08T09:30:42.388Z);/demo;NULL;Robot1;Workstation;4;Execute;Idle;urn:ngsiv2:I40Asset:ON000002;320000;true;100
urn:ngsiv2:I40Asset:Workstation00001;I40AssetWorkstation;1675848644401 (2023-02-08T09:30:44.401Z);/demo;NULL;Robot1;Workstation;4;Complete;Idle;urn:ngsiv2:I40Asset:ON000002;320000;false;100
urn:ngsiv2:I40Asset:Workstation00001;I40AssetWorkstation;1675848644415 (2023-02-08T09:30:44.415Z);/demo;NULL;Robot1;Workstation;4;Complete;Execute;urn:ngsiv2:I40Asset:ON000002;320000;true;100
urn:ngsiv2:I40Asset:Workstation00001;I40AssetWorkstation;1675848646432 (2023-02-08T09:30:46.432Z);/demo;NULL;Robot1;Workstation;4;Idle;Execute;urn:ngsiv2:I40Asset:ON000002;320000;true;100
urn:ngsiv2:I40Asset:Workstation00001;I40AssetWorkstation;1675848647444 (2023-02-08T09:30:47.444Z);/demo;NULL;Robot1;Workstation;3;Idle;Complete;urn:ngsiv2:I40Asset:ON000002;320000;false;100
